"uf","sexo","idade","cor_raca","numero_trabalhos","ocupacao","posicao","ativi_principal","empressa_com_CNPJ","servidor_publico","carteira","hrs_trab_princ","anos_estudo","posicao_ocupacao","grupo_atividade","grupo_ocupacao","rendimento_mensal"
12,2,59,4,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA
12,1,25,4,1,3522,3,61000,1,NA,1,44,15,1,7,3,950
12,2,13,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12,1,34,4,1,8322,3,10010,1,NA,2,70,8,2,2,8,1600
12,2,43,4,1,2330,4,84012,NA,1,NA,40,15,7,8,2,4500
12,1,13,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
12,1,63,4,1,2310,4,85014,NA,1,NA,40,15,7,9,2,12000
12,2,56,4,1,2310,4,85014,NA,1,NA,40,15,7,9,2,12000
12,1,27,4,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
12,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,58,4,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA
12,2,26,1,1,2221,3,86001,1,NA,1,42,15,1,9,2,1800
12,2,52,4,1,2351,4,84013,NA,1,NA,40,15,7,8,2,5000
12,1,53,1,1,4416,4,84012,NA,1,NA,40,8,7,8,4,3000
12,2,28,4,1,4110,4,87000,NA,2,1,40,14,5,9,4,700
12,2,25,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
12,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,38,1,1,2320,4,85014,NA,1,NA,40,15,7,9,2,7000
12,2,58,4,1,4120,4,84012,NA,1,NA,30,11,7,8,4,980
12,1,18,2,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
12,2,15,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
12,1,12,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,2,50,1,1,4110,4,85014,NA,1,NA,40,4,7,9,4,3400
12,1,30,4,1,3322,3,11000,1,NA,1,44,11,1,2,3,1200
12,1,24,1,1,2320,4,85013,NA,1,NA,40,15,7,9,2,2000
12,2,24,4,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
12,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,14,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,2,52,4,2,1420,6,48042,1,NA,NA,45,6,9,4,1,1400
12,2,26,1,1,4120,4,94010,NA,2,1,40,12,5,10,4,1600
12,1,24,4,1,3423,3,93012,1,NA,1,25,15,1,10,3,1200
12,1,27,4,1,8321,6,49030,2,NA,NA,35,11,9,5,8,650
12,1,45,4,1,5223,6,48079,1,NA,NA,53,5,9,4,5,4000
12,1,38,4,1,8160,6,10091,2,NA,NA,36,3,9,2,8,200
12,2,42,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,29,4,2,6111,6,1108,2,NA,NA,24,4,9,1,6,1600
12,2,27,4,1,6111,7,1119,2,NA,NA,24,8,10,1,6,NA
12,2,11,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
12,1,10,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,37,4,1,1420,6,48079,2,NA,NA,14,0,9,4,1,400
12,2,29,4,1,1420,7,48079,2,NA,NA,14,3,10,4,1,NA
12,1,16,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,2,15,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,2,11,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,1,9,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,38,4,1,8160,6,10091,2,NA,NA,48,0,9,2,8,800
12,2,36,1,1,9112,4,84013,NA,2,2,20,4,6,8,9,622
12,2,10,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,52,4,1,8160,6,10091,2,NA,NA,44,0,9,2,8,200
12,2,48,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12,1,22,4,1,6111,7,1108,2,NA,NA,44,5,10,1,6,NA
12,1,19,4,1,6111,7,1108,2,NA,NA,20,4,10,1,6,NA
12,1,16,4,1,6111,7,1108,2,NA,NA,40,6,10,1,6,NA
12,2,15,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,1,37,4,1,8160,6,10091,2,NA,NA,44,0,9,2,8,200
12,2,41,4,1,6111,7,1108,2,NA,NA,20,2,10,1,6,NA
12,1,16,4,1,6111,7,1108,2,NA,NA,10,4,10,1,6,NA
12,1,14,4,1,6111,7,1108,2,NA,NA,8,3,10,1,6,NA
12,1,13,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
